logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.090468864154295829e+02 -2.150396007021209073e+02 1.965000000000000080e+00
-2.150396007021209073e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.050103019190863165e+02 -2.110055162057776386e+02 4.699999999999999734e-01
-2.109879691804086690e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.047002197988853140e+02 -2.106979340855766338e+02 6.250000000000000000e-01
-2.101393260579152695e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -2.038392019597795581e+02 -2.098394162464708756e+02 4.050000000000000266e-01
-2.092850226205933950e+02 5.659853217960005844e-01 -1.000000000000000021e-02 4.000000000000000000e+02 -2.023084677987203008e+02 -2.083111820854116161e+02 6.350000000000000089e-01
-2.079908174913618382e+02 6.843458990127915254e-01 -1.250000000000000069e-02 4.000000000000000000e+02 -2.022804900819679119e+02 -2.082857043686592249e+02 1.094999999999999973e+00
-2.074342831228951525e+02 1.131174871622999678e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -2.015649316996707228e+02 -2.075726459863620335e+02 1.239999999999999991e+00
-2.068079262452601483e+02 1.335482046040067150e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -2.015512153500067711e+02 -2.075614296366980795e+02 5.450000000000000400e-01
-2.064221778651091768e+02 8.620935622246205243e-01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.999854471917035426e+02 -2.059981614783948487e+02 1.169999999999999929e+00
-2.054947151196736002e+02 1.415127910847821191e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -1.972534735095296412e+02 -2.032686877962209451e+02 1.179999999999999938e+00
-2.031661705088048677e+02 1.835784504592885114e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -1.960254902522411840e+02 -2.020432045389324855e+02 1.254999999999999893e+00
-2.017615555095151194e+02 1.968099355095075165e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -1.948484491734297137e+02 -2.008686634601210130e+02 4.899999999999999911e-01
-2.005254498323047585e+02 1.091296776567430404e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -1.947206008631564487e+02 -2.007433151498477741e+02 1.905000000000000027e+00
-1.999353138455824990e+02 1.175370703937173245e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -1.946075337040444424e+02 -2.006327479907357656e+02 2.999999999999999889e-02
-1.995312756846385582e+02 7.780196424088297036e-01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.895414497132655640e+02 -1.955691639999568849e+02 1.889999999999999902e+00
-1.955503197715051442e+02 2.352299079577437446e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -1.892557794896439987e+02 -1.952859937763353173e+02 1.919999999999999929e+00
-1.947163013714362023e+02 2.178584685804282106e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -1.887192976966841229e+02 -1.947520119833754393e+02 1.165000000000000036e+00
-1.940408500993396217e+02 1.704354588291163042e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -1.875539825515198800e+02 -1.935891968382111941e+02 1.000000000000000056e-01
-1.930965912823428425e+02 1.993896900070027067e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -1.860500401376453397e+02 -1.920877544243366515e+02 1.784999999999999920e+00
-1.917768616677109037e+02 8.243023977381374046e-01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.853891111934028118e+02 -1.914293254800941213e+02 2.500000000000000000e-01
