weight logl phys_par
2.111904950171151607e-62 -2.078387641539362960e+02 4.993529196163168038e+00
1.707402153554665138e-59 -2.011411262282318830e+02 4.956986194821856984e+00
2.547031708837047702e-59 -2.007386705897272918e+02 4.954743197053110393e+00
2.482189903298281043e-57 -1.961567878530808287e+02 4.928810681447005848e+00
1.637749838331142616e-56 -1.942675207062336540e+02 4.917899029272902567e+00
2.500106547285653831e-56 -1.938420106062692412e+02 4.915423273783517288e+00
1.134076067718872311e-55 -1.923274405809824259e+02 4.906555825361349932e+00
4.483785369038394628e-55 -1.909502912250504778e+02 4.898416989831903656e+00
5.365709075180296363e-55 -1.907682303289504659e+02 4.897335533568626609e+00
1.101505479428023253e-54 -1.900464959083987537e+02 4.893035618526406338e+00
3.264312296334245041e-54 -1.889576246586125308e+02 4.886509478445438148e+00
9.253778092270371906e-54 -1.879131418596193726e+02 4.880204798358485974e+00
2.791811047392790069e-53 -1.868063981709926225e+02 4.873475922430074547e+00
4.924320642782727852e-53 -1.862364023526097014e+02 4.869990736374051110e+00
3.181393789178851401e-52 -1.843681841849220291e+02 4.858472281437558493e+00
8.983922004063925318e-52 -1.833275670484240152e+02 4.851991886823631361e+00
5.172685452485153454e-51 -1.815745265076348574e+02 4.840968122034185583e+00
3.679609218056239162e-50 -1.796100268423886064e+02 4.828451519959868321e+00
6.952387842865073963e-50 -1.789712482231037711e+02 4.824343639381760696e+00
1.580458019177619572e-49 -1.781475336146055497e+02 4.819018470313334745e+00
1.706640983323833924e-49 -1.780682212037548027e+02 4.818504051870707627e+00
4.654854687682633412e-49 -1.770623376113441054e+02 4.811954087938126179e+00
7.799058587131194896e-49 -1.765437452727372829e+02 4.808558332177060635e+00
1.568074969918635385e-47 -1.735402293859697522e+02 4.788632688744613120e+00
2.230595671408034389e-47 -1.731853094521771936e+02 4.786248369157679150e+00
3.417208606385638316e-47 -1.727562540983619215e+02 4.783357448237866905e+00
4.571474095474825780e-47 -1.724627424071231303e+02 4.781374370452297740e+00
2.338224255173000485e-46 -1.708281012502341412e+02 4.770248310770659472e+00
3.085616213029271063e-46 -1.705482416438939026e+02 4.768329392373200193e+00
7.426773291510071087e-46 -1.696674015428955329e+02 4.762262440839270639e+00
1.819312034913179188e-45 -1.687689495063823131e+02 4.756031033302967614e+00
7.539026427292066444e-45 -1.673448148805807705e+02 4.746062722790878929e+00
8.239333012520470810e-45 -1.672534885376523164e+02 4.745419621946334487e+00
4.961614455106669007e-44 -1.654555916574649359e+02 4.732662727233000410e+00
4.661902028077091085e-43 -1.632128142218326445e+02 4.716485464836932096e+00
1.866199414408550857e-42 -1.618232486902032861e+02 4.706310765992025580e+00
3.470204884825040505e-41 -1.588978539244049557e+02 4.684495631830252194e+00
1.958805470332151206e-40 -1.571646476347070234e+02 4.671308689075114096e+00
3.880981129137184426e-40 -1.564783944782410572e+02 4.666031647665128901e+00
5.182203696568073736e-40 -1.561867520783926295e+02 4.663779279319688165e+00
8.710013578758574257e-40 -1.556650091183966538e+02 4.659735195107218786e+00
3.826209148733544065e-38 -1.518799377476167649e+02 4.629817122253749417e+00
3.355304537353225566e-37 -1.497061846517652270e+02 4.612154317473580178e+00
5.884550964076681726e-37 -1.491418967532326860e+02 4.607509239699986381e+00
2.240959523813624726e-36 -1.478022379632757293e+02 4.596379659255834582e+00
3.657877564312121441e-36 -1.473097590175237883e+02 4.592251613895674822e+00
9.329988937357908930e-36 -1.463709082671165902e+02 4.584326338639760579e+00
6.335982269359468251e-35 -1.444528121471628879e+02 4.567902218442101869e+00
1.880557476697002824e-34 -1.433624036472370449e+02 4.558422023063522843e+00
4.944846572186400732e-34 -1.423931259725453060e+02 4.549905106754630779e+00
4.991143686305056112e-33 -1.400787217381320033e+02 4.529215071363365652e+00
5.202078350728305816e-33 -1.400348285887185966e+02 4.528817738105043844e+00
1.238072053821878452e-31 -1.368626612569348708e+02 4.499593449572241610e+00
1.209635430498705557e-30 -1.345808125212032564e+02 4.477922080946115990e+00
1.673270169589211282e-30 -1.342538516412386684e+02 4.474770162448692190e+00
3.417230488784457863e-30 -1.335373011138948414e+02 4.467820495067111430e+00
7.327301586724407920e-30 -1.327720242229630117e+02 4.460333409328243626e+00
1.188978105649575475e-29 -1.322854522418589909e+02 4.455537608440016228e+00
6.953468441223383002e-29 -1.305168058539296112e+02 4.437867045285869949e+00
9.588440717741302560e-29 -1.301929881642395230e+02 4.434590364003954122e+00
4.194410980842659483e-28 -1.287147084320664874e+02 4.419463593429809656e+00
1.324948270437120116e-27 -1.275620028418256595e+02 4.407471527153918878e+00
1.015535876039040494e-26 -1.255228747364657522e+02 4.385816237956150943e+00
1.581387931811705899e-25 -1.227749031740404320e+02 4.355687578175917452e+00
1.467313584906082951e-24 -1.205446877447136131e+02 4.330378908046323971e+00
1.497195638419273868e-24 -1.205220271964545162e+02 4.330117605872091602e+00
2.965002189015920648e-24 -1.198362432096053141e+02 4.322168993701184903e+00
3.489873216695500237e-24 -1.196707555723799743e+02 4.320238977294446947e+00
1.422670095652270703e-23 -1.182630004323251995e+02 4.303628713359656466e+00
1.109212010853249313e-22 -1.162068009312583285e+02 4.278723537113426012e+00
1.250465306867770167e-22 -1.160844350668096894e+02 4.277216311203067889e+00
1.347487031547530276e-22 -1.160072093946807001e+02 4.276263604119577622e+00
2.440943369248767725e-22 -1.154105662030263915e+02 4.268863791481801506e+00
1.276563161703432271e-21 -1.137536942645038920e+02 4.247939954618747294e+00
2.066286614686718465e-21 -1.132696126110052575e+02 4.241719218628975163e+00
9.029771784810449164e-21 -1.117923386072483254e+02 4.222421013451169713e+00
2.403549380330868174e-20 -1.108108340550468824e+02 4.209327380019392884e+00
2.448037744548672944e-20 -1.107899938253078602e+02 4.209046933985598926e+00
5.429712248621457503e-20 -1.099908944687095698e+02 4.198215445429336334e+00
1.051713109172087522e-19 -1.093272751481588614e+02 4.189102387552863682e+00
5.249144770136182447e-19 -1.077171303529625135e+02 4.166527307784736678e+00
4.664921118905221752e-18 -1.055300394973501312e+02 4.134741775584876322e+00
4.754931636028502897e-18 -1.055084281037628386e+02 4.134420881106557921e+00
8.431364630807267540e-18 -1.049331517855497395e+02 4.125827887774195624e+00
1.257986184946637778e-17 -1.045305131529231915e+02 4.119754153741324032e+00
8.312247441674407210e-17 -1.026397953068177742e+02 4.090548134754540044e+00
1.143322034309330275e-16 -1.023185021464550459e+02 4.085468072302464115e+00
1.203357968911400611e-16 -1.022648242801409992e+02 4.084615917710426203e+00
1.792273055983855069e-16 -1.018639555584518348e+02 4.078220464315549521e+00
2.454245012189573180e-16 -1.015471210531147932e+02 4.073125839600594489e+00
3.895923327021444829e-16 -1.010825095307236552e+02 4.065590083313656677e+00
7.666487526538756729e-16 -1.004030816755032589e+02 4.054427626562227438e+00
1.179480273623915709e-15 -9.996978124802234333e+01 4.047218007095416681e+00
1.833262284483848030e-15 -9.952625809449216376e+01 4.039762986021098179e+00
2.094152627271121316e-15 -9.939070614569740769e+01 4.037469064625247128e+00
3.824574237179766026e-15 -9.878590799285184687e+01 4.027143968966933940e+00
6.484411626878335099e-15 -9.825545405805610244e+01 4.017963887005414847e+00
8.308027486820920417e-15 -9.800513292890894945e+01 4.013590451051555874e+00
9.055159449847937893e-15 -9.791652044317430637e+01 4.012035815588776089e+00
2.324222676811623684e-14 -9.697138439981598879e+01 3.995238758531708623e+00
4.500255314498979311e-14 -9.630813591867743639e+01 3.983208333748431418e+00
1.290596152669487706e-13 -9.525208071193060277e+01 3.963616537005527629e+00
1.505577291079181816e-13 -9.509550855064109953e+01 3.960664415059000909e+00
2.081686361731250084e-13 -9.476900664134089425e+01 3.954467644956340511e+00
3.039469973165331131e-13 -9.438800180812074814e+01 3.947165643265725166e+00
6.793546448635958205e-13 -9.358121184752933175e+01 3.931443295226825452e+00
7.282411100951468230e-13 -9.350922295484431856e+01 3.930022755357137410e+00
8.055985846783455797e-13 -9.340576955884490928e+01 3.927976157250520295e+00
1.179753160385300551e-12 -9.302179463393053993e+01 3.920325996435215288e+00
1.430863747263308050e-12 -9.282632158342050843e+01 3.916398240562853239e+00
1.651826082259468521e-12 -9.268021847193736562e+01 3.913447617088182451e+00
2.554123350079316383e-12 -9.224189081114698752e+01 3.904517557495216451e+00
3.080476561552684582e-12 -9.205201555161826832e+01 3.900612324070245940e+00
3.483130224347116653e-12 -9.192666848516867617e+01 3.898021821761346928e+00
3.505887736502294998e-12 -9.191765609881807109e+01 3.897835181725589404e+00
1.480873524225992586e-11 -9.047438263868056652e+01 3.867254433459755614e+00
2.976296410562245424e-11 -8.977383505908304073e+01 3.851887771234946189e+00
4.396734638192722564e-11 -8.938115263368976571e+01 3.843114610676895637e+00
4.858156089527605690e-11 -8.927885581094449208e+01 3.840809704274973591e+00
4.965256656189948543e-11 -8.925454978216673396e+01 3.840260854207402375e+00
5.047960208130244447e-11 -8.923553052890963500e+01 3.839831061938526524e+00
5.555584940349261005e-11 -8.913721105407663003e+01 3.837604738672738769e+00
7.717925237089576012e-11 -8.880596919517329013e+01 3.830047676417516200e+00
1.199210359576220006e-10 -8.836276637191511441e+01 1.007958524857014204e+00
1.313674075771490295e-10 -8.826910182887564815e+01 3.817609287647287797e+00
1.435245917017217476e-10 -8.817809347315039759e+01 3.815476816759515444e+00
1.537109186311210537e-10 -8.810702617780111723e+01 1.024257110976678486e+00
1.665716977079202098e-10 -8.802417403081544478e+01 1.029557948478481588e+00
1.874630300764714477e-10 -8.790351821136763988e+01 3.808999911957293261e+00
1.940202309000013119e-10 -8.786663742779555264e+01 1.039664465675929517e+00
2.272190684329661816e-10 -8.770618525312424651e+01 1.049994548351922408e+00
2.266804405096019433e-10 -8.770605858980155745e+01 3.804301327291220503e+00
2.577333817103112671e-10 -8.757517421804377022e+01 1.058456181789182882e+00
2.700786696356006068e-10 -8.752588657883207190e+01 1.061645758824950825e+00
2.896304751668293616e-10 -8.745349397750675280e+01 1.066336671513636869e+00
3.608096394784086678e-10 -8.723124935962201221e+01 1.080782911673108693e+00
3.636864569218034921e-10 -8.722080775006043041e+01 1.081463295722215001e+00
3.852320361087672548e-10 -8.716075402047749776e+01 3.791143241741827374e+00
7.666770071279784569e-10 -8.647003426369508361e+01 1.130766458500518823e+00
8.336275414767300269e-10 -8.638381315475864142e+01 1.136475920693158059e+00
8.562342582238587664e-10 -8.635455585956012214e+01 3.771175292292484382e+00
8.773044233541846097e-10 -8.632774581328121144e+01 1.140193769530781776e+00
8.920840439196700789e-10 -8.630853951662898282e+01 1.141468274569299446e+00
9.083942137191062334e-10 -8.628792142395036535e+01 3.769496192180293193e+00
1.175412501459233608e-09 -8.602772543437046693e+01 1.160156422512492735e+00
1.207987771794301237e-09 -8.599788860865480444e+01 1.162147931573685788e+00
1.224985201758075866e-09 -8.598141582170310926e+01 1.163247915902156926e+00
1.241953544186935649e-09 -8.596515900665389154e+01 1.164333813309105459e+00
1.291738668878641286e-09 -8.592335546919778722e+01 1.167127666165938216e+00
1.644442149580728848e-09 -8.567944337752170725e+01 1.183472612868017304e+00
1.798570658438118154e-09 -8.558735231462017623e+01 1.189663029643795777e+00
1.804091418162636686e-09 -8.558178748981642059e+01 1.190037436892006806e+00
1.836110225034112980e-09 -8.556169525961146860e+01 1.191389581796335584e+00
1.859917901889816612e-09 -8.554631223744729596e+01 1.192425148653741829e+00
2.014712410568493263e-09 -8.546386812450040793e+01 3.748348779245255447e+00
2.089346805393757578e-09 -8.542499310160576442e+01 1.200602433375256961e+00
2.156405333993438244e-09 -8.539090194727302219e+01 3.746441078118551093e+00
2.604172466401092412e-09 -8.519972963193940529e+01 1.215833817108673109e+00
2.898666014856599567e-09 -8.509009394914406244e+01 1.223269363441572555e+00
3.116765807059853442e-09 -8.501504872155095427e+01 1.228367405509174226e+00
3.277874293659008889e-09 -8.496214945433021626e+01 1.231965120539518566e+00
3.303136514034231599e-09 -8.495197210955862488e+01 1.232657678383391797e+00
3.810912289885731297e-09 -8.480647597878916599e+01 3.730944129518567021e+00
3.816540909338873679e-09 -8.480250009415826185e+01 3.730837350277421915e+00
4.053381033372255871e-09 -8.473979322952698112e+01 1.247124827605852193e+00
4.090674170013160510e-09 -8.472813479521417435e+01 3.728836695144484459e+00
4.508296066627468322e-09 -8.462842531558152359e+01 3.726143870051144003e+00
4.969853081648326763e-09 -8.452845430679430194e+01 1.261588843982756725e+00
5.116799702596881688e-09 -8.449681539989472867e+01 1.263758850740549278e+00
5.893579142211906317e-09 -8.435298110810644800e+01 1.273639197503876108e+00
6.634479816245732068e-09 -8.423206432068158733e+01 1.281964604490185344e+00
6.998766714508869953e-09 -8.417611063553778195e+01 1.285823123564425075e+00
7.270690047714518848e-09 -8.413549338123358723e+01 1.288626424713636975e+00
7.762268577025040170e-09 -8.406756995155780032e+01 1.293318785442951757e+00
8.430422092602820510e-09 -8.398249774437216786e+01 3.708404164149149196e+00
8.799905273088480117e-09 -8.393710362842489303e+01 1.302347460986605476e+00
9.642064587193742282e-09 -8.384320933094173256e+01 1.308858001469805465e+00
1.363354675788926170e-08 -8.349431115655833935e+01 3.694641409466241644e+00
