weight logl phys_par
2.111904950171151607e-62 -2.078387641539362960e+02 9.983822990407920095e-01
1.707402153554665138e-59 -2.011411262282318830e+02 9.892465487054643569e-01
2.547031708837047702e-59 -2.007386705897272918e+02 9.886857992632777092e-01
2.482189903298281043e-57 -1.961567878530808287e+02 9.822026703617513510e-01
1.637749838331142616e-56 -1.942675207062336540e+02 9.794747573182256417e-01
2.500106547285653831e-56 -1.938420106062692412e+02 9.788558184458794331e-01
1.134076067718872311e-55 -1.923274405809824259e+02 9.766389563403373719e-01
4.483785369038394628e-55 -1.909502912250504778e+02 9.746042474579759141e-01
5.365709075180296363e-55 -1.907682303289504659e+02 9.743338833921566522e-01
1.101505479428023253e-54 -1.900464959083987537e+02 9.732589046316014736e-01
3.264312296334245041e-54 -1.889576246586125308e+02 9.716273696113596481e-01
9.253778092270371906e-54 -1.879131418596193726e+02 9.700511995896214934e-01
2.791811047392790069e-53 -1.868063981709926225e+02 9.683689806075186368e-01
4.924320642782727852e-53 -1.862364023526097014e+02 9.674976840935128886e-01
3.181393789178851401e-52 -1.843681841849220291e+02 9.646180703593896233e-01
8.983922004063925318e-52 -1.833275670484240152e+02 9.629979717059079514e-01
5.172685452485153454e-51 -1.815745265076348574e+02 9.602420305085463959e-01
3.679609218056239162e-50 -1.796100268423886064e+02 9.571128799899669692e-01
6.952387842865073963e-50 -1.789712482231037711e+02 9.560859098454402849e-01
1.580458019177619572e-49 -1.781475336146055497e+02 9.547546175783336864e-01
1.706640983323833924e-49 -1.780682212037548027e+02 9.546260129676770179e-01
4.654854687682633412e-49 -1.770623376113441054e+02 9.529885219845314337e-01
7.799058587131194896e-49 -1.765437452727372829e+02 9.521395830442652697e-01
1.568074969918635385e-47 -1.735402293859697522e+02 9.471581721861531689e-01
2.230595671408034389e-47 -1.731853094521771936e+02 9.465620922894196765e-01
3.417208606385638316e-47 -1.727562540983619215e+02 9.458393620594666151e-01
4.571474095474825780e-47 -1.724627424071231303e+02 9.453435926130744349e-01
2.338224255173000485e-46 -1.708281012502341412e+02 9.425620776926648681e-01
3.085616213029271063e-46 -1.705482416438939026e+02 9.420823480932999372e-01
7.426773291510071087e-46 -1.696674015428955329e+02 9.405656102098177707e-01
1.819312034913179188e-45 -1.687689495063823131e+02 9.390077583257420146e-01
7.539026427292066444e-45 -1.673448148805807705e+02 9.365156806977197324e-01
8.239333012520470810e-45 -1.672534885376523164e+02 9.363549054865837329e-01
4.961614455106669007e-44 -1.654555916574649359e+02 9.331656818082502136e-01
4.661902028077091085e-43 -1.632128142218326445e+02 9.291213662092329129e-01
1.866199414408550857e-42 -1.618232486902032861e+02 9.265776914980065060e-01
3.470204884825040505e-41 -1.588978539244049557e+02 9.211239079575631594e-01
1.958805470332151206e-40 -1.571646476347070234e+02 9.178271722687785239e-01
3.880981129137184426e-40 -1.564783944782410572e+02 9.165079119162822252e-01
5.182203696568073736e-40 -1.561867520783926295e+02 9.159448198299220412e-01
8.710013578758574257e-40 -1.556650091183966538e+02 9.149337987768045855e-01
3.826209148733544065e-38 -1.518799377476167649e+02 9.074542805634373543e-01
3.355304537353225566e-37 -1.497061846517652270e+02 9.030385793683950446e-01
5.884550964076681726e-37 -1.491418967532326860e+02 9.018773099249967062e-01
2.240959523813624726e-36 -1.478022379632757293e+02 8.990949148139586455e-01
3.657877564312121441e-36 -1.473097590175237883e+02 8.980629034739185945e-01
9.329988937357908930e-36 -1.463709082671165902e+02 8.960815846599401446e-01
6.335982269359468251e-35 -1.444528121471628879e+02 8.919755546105253563e-01
1.880557476697002824e-34 -1.433624036472370449e+02 8.896055057658808218e-01
4.944846572186400732e-34 -1.423931259725453060e+02 8.874762766886575838e-01
4.991143686305056112e-33 -1.400787217381320033e+02 8.823037678408413020e-01
5.202078350728305816e-33 -1.400348285887185966e+02 8.822044345262609610e-01
1.238072053821878452e-31 -1.368626612569348708e+02 8.748983623930602915e-01
1.209635430498705557e-30 -1.345808125212032564e+02 8.694805202365289976e-01
1.673270169589211282e-30 -1.342538516412386684e+02 8.686925406121729365e-01
3.417230488784457863e-30 -1.335373011138948414e+02 8.669551237667778576e-01
7.327301586724407920e-30 -1.327720242229630117e+02 8.650833523320609064e-01
1.188978105649575475e-29 -1.322854522418589909e+02 8.638844021100040571e-01
6.953468441223383002e-29 -1.305168058539296112e+02 8.594667613214673763e-01
9.588440717741302560e-29 -1.301929881642395230e+02 8.586475910009886414e-01
4.194410980842659483e-28 -1.287147084320664874e+02 8.548658983574524139e-01
1.324948270437120116e-27 -1.275620028418256595e+02 8.518678817884797194e-01
1.015535876039040494e-26 -1.255228747364657522e+02 8.464540594890378467e-01
1.581387931811705899e-25 -1.227749031740404320e+02 8.389218945439793629e-01
1.467313584906082951e-24 -1.205446877447136131e+02 8.325947270115809928e-01
1.497195638419273868e-24 -1.205220271964545162e+02 8.325294014680229004e-01
2.965002189015920648e-24 -1.198362432096053141e+02 8.305422484252962256e-01
3.489873216695500237e-24 -1.196707555723799743e+02 8.300597443236117368e-01
1.422670095652270703e-23 -1.182630004323251995e+02 8.259071783399141164e-01
1.109212010853249313e-22 -1.162068009312583285e+02 8.196808842783565030e-01
1.250465306867770167e-22 -1.160844350668096894e+02 8.193040778007669722e-01
1.347487031547530276e-22 -1.160072093946807001e+02 8.190659010298945164e-01
