,x,y,signal,bkg
0,-30.802,1503.0,-42.0,1545.0
1,-30.302,1563.708,19.0,1544.708
2,-29.802,1520.415,-24.0,1544.415
3,-29.302,1481.121,-63.0,1544.121
4,-28.802,1606.829,63.0,1543.829
5,-28.302,1552.536,9.0,1543.536
6,-27.802,1526.243,-17.0,1543.243
7,-27.302,1549.95,7.0,1542.95
8,-26.802,1529.658,-13.0,1542.658
9,-26.302,1543.364,1.0,1542.364
10,-25.802,1560.0720000000001,18.0,1542.0720000000001
11,-25.302,1533.779,-8.0,1541.779
12,-24.802,1455.4859999999999,-86.0,1541.4859999999999
13,-24.302,1583.193,42.0,1541.193
14,-23.802,1563.9,23.0,1540.9
15,-23.302,1546.607,6.0,1540.607
16,-22.802,1511.315,-29.0,1540.315
17,-22.302,1574.0210000000002,34.0,1540.0210000000002
18,-21.802,1571.729,32.0,1539.729
19,-21.302,1571.4360000000001,32.0,1539.4360000000001
20,-20.802,1551.143,12.0,1539.143
21,-20.302,1576.85,38.0,1538.85
22,-19.802,1524.558,-14.0,1538.558
23,-19.302,1494.264,-44.0,1538.264
24,-18.802,1534.9720000000002,-3.0,1537.9720000000002
25,-18.302,1570.679,33.0,1537.679
26,-17.802,1587.386,50.0,1537.386
27,-17.302,1492.0929999999998,-45.0,1537.0929999999998
28,-16.802,1479.801,-57.0,1536.801
29,-16.302,1577.507,41.0,1536.507
30,-15.802,1566.215,30.0,1536.215
31,-15.302,1457.9209999999998,-78.0,1535.9209999999998
32,-14.802,1575.629,40.0,1535.629
33,-14.302,1560.336,25.0,1535.336
34,-13.802,1545.0430000000001,10.0,1535.0430000000001
35,-13.302,1531.75,-3.0,1534.75
36,-12.802,1516.458,-18.0,1534.458
37,-12.302,1518.164,-16.0,1534.164
38,-11.802,1479.8719999999998,-54.0,1533.8719999999998
39,-11.302,1558.579,25.0,1533.579
40,-10.802,1524.286,-9.0,1533.286
41,-10.302,1457.993,-75.0,1532.993
42,-9.802,1516.701,-16.0,1532.701
43,-9.302,1447.4070000000002,-85.0,1532.4070000000002
44,-8.802,1502.115,-30.0,1532.115
45,-8.302,1510.821,-21.0,1531.821
46,-7.802,1532.529,1.0,1531.529
47,-7.302,1477.2359999999999,-54.0,1531.2359999999999
48,-6.802,1447.943,-83.0,1530.943
49,-6.302,1516.65,-14.0,1530.65
50,-5.802,1530.3580000000002,-0.0,1530.3580000000002
51,-5.302,1535.064,5.0,1530.064
52,-4.802,1502.772,-27.0,1529.772
53,-4.302,1564.479,35.0,1529.479
54,-3.802,1562.1860000000001,33.0,1529.1860000000001
55,-3.302,1572.893,44.0,1528.893
56,-2.802,1511.601,-17.0,1528.601
57,-2.302,1466.307,-62.0,1528.307
58,-1.802,1473.0149999999999,-55.0,1528.0149999999999
59,-1.302,1475.7220000000002,-52.0,1527.7220000000002
60,-0.802,1493.429,-34.0,1527.429
61,-0.302,1927.136,400.0,1527.136
62,0.198,2617.843,1091.0,1526.843
63,0.698,2915.55,1389.0,1526.55
64,1.198,4044.258,2518.0,1526.258
65,1.698,5650.964,4125.0,1525.964
66,2.198,6818.6720000000005,5293.0,1525.672
67,2.698,7297.379,5772.0,1525.379
68,3.198,5935.085999999999,4410.0,1525.0859999999998
69,3.698,5810.793,4286.0,1524.7930000000001
70,4.198,5670.501,4146.0,1524.501
71,4.698,5263.207,3739.0,1524.2069999999999
